id,data_publicacao,numero_edicao,tipo_ato,titulo,secretaria,texto,url_original,rotulo
DOA-2026-001,2026-06-01,0001,Outros,Acessar Painel,Não identificada,Acessar Painel,https://imprensaoficialmunicipal.com.br//dosp.com.br/login,Outros
DOA-2026-002,2026-06-01,0001,Outros,Lista de Leis,Não identificada,Lista de Leis,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Leis,Outros
DOA-2026-003,2026-06-01,0001,Decreto,Lista de Decretos,Não identificada,Lista de Decretos,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Decretos,Decreto
DOA-2026-004,2026-06-01,0001,Portaria,Lista de Portarias,Não identificada,Lista de Portarias,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Portarias,Portaria
DOA-2026-005,2026-06-01,0001,Outros,Advertências / Notificações,Não identificada,Advertências / Notificações,https://imprensaoficialmunicipal.com.br/avare/#,Outros
DOA-2026-006,2026-06-01,0001,Outros,Acessar Painel,Não identificada,Acessar Painel,https://imprensaoficialmunicipal.com.br//dosp.com.br/login,Outros
DOA-2026-007,2026-06-01,0001,Outros,Lista de Leis,Não identificada,Lista de Leis,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Leis,Outros
DOA-2026-008,2026-06-01,0001,Decreto,Lista de Decretos,Não identificada,Lista de Decretos,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Decretos,Decreto
DOA-2026-009,2026-06-01,0001,Portaria,Lista de Portarias,Não identificada,Lista de Portarias,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Portarias,Portaria
DOA-2026-010,2026-06-01,0001,Outros,Advertências / Notificações,Não identificada,Advertências / Notificações,https://imprensaoficialmunicipal.com.br/avare/#,Outros
DOA-2026-011,2026-06-01,0001,Outros,Acessar Painel,Não identificada,Acessar Painel,https://imprensaoficialmunicipal.com.br//dosp.com.br/login,Outros
DOA-2026-012,2026-06-01,0001,Outros,Lista de Leis,Não identificada,Lista de Leis,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Leis,Outros
DOA-2026-013,2026-06-01,0001,Decreto,Lista de Decretos,Não identificada,Lista de Decretos,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Decretos,Decreto
DOA-2026-014,2026-06-01,0001,Portaria,Lista de Portarias,Não identificada,Lista de Portarias,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Portarias,Portaria
DOA-2026-015,2026-06-01,0001,Outros,Advertências / Notificações,Não identificada,Advertências / Notificações,https://imprensaoficialmunicipal.com.br/avare/#,Outros
DOA-2026-016,2026-06-01,0001,Outros,Acessar Painel,Não identificada,Acessar Painel,https://imprensaoficialmunicipal.com.br//dosp.com.br/login,Outros
DOA-2026-017,2026-06-01,0001,Outros,Lista de Leis,Não identificada,Lista de Leis,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Leis,Outros
DOA-2026-018,2026-06-01,0001,Decreto,Lista de Decretos,Não identificada,Lista de Decretos,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Decretos,Decreto
DOA-2026-019,2026-06-01,0001,Portaria,Lista de Portarias,Não identificada,Lista de Portarias,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Portarias,Portaria
DOA-2026-020,2026-06-01,0001,Outros,Advertências / Notificações,Não identificada,Advertências / Notificações,https://imprensaoficialmunicipal.com.br/avare/#,Outros
DOA-2026-021,2026-06-01,0001,Outros,Acessar Painel,Não identificada,Acessar Painel,https://imprensaoficialmunicipal.com.br//dosp.com.br/login,Outros
DOA-2026-022,2026-06-01,0001,Outros,Lista de Leis,Não identificada,Lista de Leis,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Leis,Outros
DOA-2026-023,2026-06-01,0001,Decreto,Lista de Decretos,Não identificada,Lista de Decretos,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Decretos,Decreto
DOA-2026-024,2026-06-01,0001,Portaria,Lista de Portarias,Não identificada,Lista de Portarias,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Portarias,Portaria
DOA-2026-025,2026-06-01,0001,Outros,Advertências / Notificações,Não identificada,Advertências / Notificações,https://imprensaoficialmunicipal.com.br/avare/#,Outros
DOA-2026-026,2026-06-01,0001,Outros,Acessar Painel,Não identificada,Acessar Painel,https://imprensaoficialmunicipal.com.br//dosp.com.br/login,Outros
DOA-2026-027,2026-06-01,0001,Outros,Lista de Leis,Não identificada,Lista de Leis,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Leis,Outros
DOA-2026-028,2026-06-01,0001,Decreto,Lista de Decretos,Não identificada,Lista de Decretos,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Decretos,Decreto
DOA-2026-029,2026-06-01,0001,Portaria,Lista de Portarias,Não identificada,Lista de Portarias,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Portarias,Portaria
DOA-2026-030,2026-06-01,0001,Outros,Advertências / Notificações,Não identificada,Advertências / Notificações,https://imprensaoficialmunicipal.com.br/avare/#,Outros
DOA-2026-031,2026-06-01,0001,Outros,Acessar Painel,Não identificada,Acessar Painel,https://imprensaoficialmunicipal.com.br//dosp.com.br/login,Outros
DOA-2026-032,2026-06-01,0001,Outros,Lista de Leis,Não identificada,Lista de Leis,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Leis,Outros
DOA-2026-033,2026-06-01,0001,Decreto,Lista de Decretos,Não identificada,Lista de Decretos,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Decretos,Decreto
DOA-2026-034,2026-06-01,0001,Portaria,Lista de Portarias,Não identificada,Lista de Portarias,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Portarias,Portaria
DOA-2026-035,2026-06-01,0001,Outros,Advertências / Notificações,Não identificada,Advertências / Notificações,https://imprensaoficialmunicipal.com.br/avare/#,Outros
DOA-2026-036,2026-06-01,0001,Outros,Acessar Painel,Não identificada,Acessar Painel,https://imprensaoficialmunicipal.com.br//dosp.com.br/login,Outros
DOA-2026-037,2026-06-01,0001,Outros,Lista de Leis,Não identificada,Lista de Leis,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Leis,Outros
DOA-2026-038,2026-06-01,0001,Decreto,Lista de Decretos,Não identificada,Lista de Decretos,https://imprensaoficialmunicipal.com.br/listaatos.php?c=Avaré&s=Decretos,Decreto
